Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase	Curve
410.00	37.500	1.4648	0.68271	31.846	34.407	117.10	91.750	119.57	233.04	0.85165	12.620	0.037840	vapor	vapor, P = 37.5 bar
415.00	37.500	1.4223	0.70307	32.365	35.001	118.55	92.368	118.43	237.54	0.80789	12.699	0.038397	vapor	vapor, P = 37.5 bar
420.00	37.500	1.3836	0.72274	32.881	35.591	119.96	93.019	117.60	241.80	0.76810	12.783	0.038989	vapor	vapor, P = 37.5 bar
425.00	37.500	1.3480	0.74181	33.396	36.178	121.35	93.698	117.00	245.85	0.73172	12.872	0.039610	vapor	vapor, P = 37.5 bar
430.00	37.500	1.3152	0.76036	33.910	36.762	122.71	94.399	116.60	249.73	0.69832	12.964	0.040256	vapor	vapor, P = 37.5 bar
435.00	37.500	1.2846	0.77845	34.425	37.344	124.06	95.118	116.36	253.44	0.66752	13.060	0.040923	vapor	vapor, P = 37.5 bar
440.00	37.500	1.2561	0.79613	34.940	37.926	125.39	95.853	116.25	257.02	0.63902	13.158	0.041611	vapor	vapor, P = 37.5 bar
445.00	37.500	1.2293	0.81344	35.456	38.507	126.70	96.601	116.25	260.46	0.61256	13.258	0.042316	vapor	vapor, P = 37.5 bar
450.00	37.500	1.2042	0.83042	35.974	39.088	128.00	97.359	116.34	263.78	0.58794	13.360	0.043037	vapor	vapor, P = 37.5 bar
455.00	37.500	1.1805	0.84710	36.494	39.670	129.29	98.127	116.50	267.00	0.56496	13.463	0.043773	vapor	vapor, P = 37.5 bar
